Product,WalmartPrice,FredMeyerPrice
Coca-Cola 24pk,$12.98,$14.99
Scrub Daddy 1pk,$3.88,$4.99
First Response Pregnancy Test 2pk,$8.98,$11.99
Oreo Family Pack 18.12oz,$4.88,$4.99
Stella Rosa Black 750ml,$10.98,$12.99
Tillamook Medium Cheddar Block 32oz,$12.48,$13.99
Samsung 65in Crystal HDR 4K TV,$468.00,$499.00
Enfamil NeuroPro Baby Formula 27.4oz,$52.00,$54.99
Maseca Corn Masa Flour 4lbs,$3.98,$4.29
Cacique Ranchero Queso Fresco 10oz,$3.68,$3.69
Purina One Dry Dog Food 16.5lb,$30.28,$31.99
Bounty Paper Napkins 200ct,$3.48,$4.29
Luna Lemonzest Nutrition Bars 12ct,$14.46,$15.99
Coleman Cooler 52qt,$49.99,$39.99
Corona Heavy-Duty Weeding Hoe,$62.57,$77.51
