age	time
21.9	0.32
20.6	23.4
21.25	335.33
19.8	334
21.6	213
20.5	263
20.9	500
23.1	2.4
21.6	334
24.67	9.45
20.5	272.33
23.58	330
22.5	302.33
20.45	397.7
19	411
20.17	347.7
20	335
21	342
21.7	383
22.5	416
20.5	319.3
23	347.33
21	346
20.2	387
24	423.67
24.5	282
24.2	288
19.85	324.33
20.5	383
19	299.67
23.7	403.3
20.1	374.3
21	311
22	315
19.3	351.67
20.6	308
20.8	313
19.3	399
20.167	354.67
21.5	418.3
21.3	314
20.92	358
20.5	17
19	653
24	347
28.2	335.33
22.1667	300.333
22.25	294
20	247.6
21.1	332.8
20	339
21.5	282
21.6	282
30.25	295.33
22.3	336
22	33
22.65	317
26.7	303
19.16	313
19.75	388
20	309.33
21	483
27.9	322
22	403
20.25	175
20.25	0.6
23	329
24	327
20.8334	261.6667
20	348
41	303
20.833	520.667
20.584	275
21.16	384.3
20	300.67
19.33	294.33
20.8	647
20	295.34
19.25	347
20.67	430
20.5	400.33
21.17	428
19.1	384.3
21	371.667
20	293
19.83	339.3
24.5	319.3
22	445
20.5	367
20.5	325
21.5	519.33
21.5	292
19	561.3
20.5	334
22	341.33
