gender	age	headsize	brainwt
male	20to45	4512	1530
male	20to45	3738	1297
male	20to45	4261	1335
male	20to45	3777	1282
male	20to45	4177	1590
male	20to45	3585	1300
male	20to45	3785	1400
male	20to45	3559	1255
male	20to45	3613	1355
male	20to45	3982	1375
male	20to45	3443	1340
male	20to45	3993	1380
male	20to45	3640	1355
male	20to45	4208	1522
male	20to45	3832	1208
male	20to45	3876	1405
male	20to45	3497	1358
male	20to45	3466	1292
male	20to45	3095	1340
male	20to45	4424	1400
male	20to45	3878	1357
male	20to45	4046	1287
male	20to45	3804	1275
male	20to45	3710	1270
male	20to45	4747	1635
male	20to45	4423	1505
male	20to45	4036	1490
male	20to45	4022	1485
male	20to45	3454	1310
male	20to45	4175	1420
male	20to45	3787	1318
male	20to45	3796	1432
male	20to45	4103	1364
male	20to45	4161	1405
male	20to45	4158	1432
male	20to45	3814	1207
male	20to45	3527	1375
male	20to45	3748	1350
male	20to45	3334	1236
male	20to45	3492	1250
male	20to45	3962	1350
male	20to45	3505	1320
male	20to45	4315	1525
male	20to45	3804	1570
male	20to45	3863	1340
male	20to45	4034	1422
male	20to45	4308	1506
male	20to45	3165	1215
male	20to45	3641	1311
male	20to45	3644	1300
male	20to45	3891	1224
male	20to45	3793	1350
male	20to45	4270	1335
male	20to45	4063	1390
male	20to45	4012	1400
male	20to45	3458	1225
male	20to45	3890	1310
male	46plus	4166	1560
male	46plus	3935	1330
male	46plus	3669	1222
male	46plus	3866	1415
male	46plus	3393	1175
male	46plus	4442	1330
male	46plus	4253	1485
male	46plus	3727	1470
male	46plus	3329	1135
male	46plus	3415	1310
male	46plus	3372	1154
male	46plus	4430	1510
male	46plus	4381	1415
male	46plus	4008	1468
male	46plus	3858	1390
male	46plus	4121	1380
male	46plus	4057	1432
male	46plus	3824	1240
male	46plus	3394	1195
male	46plus	3558	1225
male	46plus	3362	1188
male	46plus	3930	1252
male	46plus	3835	1315
male	46plus	3830	1245
male	46plus	3856	1430
male	46plus	3249	1279
male	46plus	3577	1245
male	46plus	3933	1309
male	46plus	3850	1412
male	46plus	3309	1120
male	46plus	3406	1220
male	46plus	3506	1280
male	46plus	3907	1440
male	46plus	4160	1370
male	46plus	3318	1192
male	46plus	3662	1230
male	46plus	3899	1346
male	46plus	3700	1290
male	46plus	3779	1165
male	46plus	3473	1240
male	46plus	3490	1132
male	46plus	3654	1242
male	46plus	3478	1270
male	46plus	3495	1218
male	46plus	3834	1430
male	46plus	3876	1588
male	46plus	3661	1320
male	46plus	3618	1290
male	46plus	3648	1260
male	46plus	4032	1425
male	46plus	3399	1226
male	46plus	3916	1360
male	46plus	4430	1620
male	46plus	3695	1310
male	46plus	3524	1250
male	46plus	3571	1295
male	46plus	3594	1290
male	46plus	3383	1290
male	46plus	3499	1275
male	46plus	3589	1250
male	46plus	3900	1270
male	46plus	4114	1362
male	46plus	3937	1300
male	46plus	3399	1173
male	46plus	4200	1256
male	46plus	4488	1440
male	46plus	3614	1180
male	46plus	4051	1306
male	46plus	3782	1350
male	46plus	3391	1125
male	46plus	3124	1165
male	46plus	4053	1312
male	46plus	3582	1300
male	46plus	3666	1270
male	46plus	3532	1335
male	46plus	4046	1450
male	46plus	3667	1310
female	20to45	2857	1027
female	20to45	3436	1235
female	20to45	3791	1260
female	20to45	3302	1165
female	20to45	3104	1080
female	20to45	3171	1127
female	20to45	3572	1270
female	20to45	3530	1252
female	20to45	3175	1200
female	20to45	3438	1290
female	20to45	3903	1334
female	20to45	3899	1380
female	20to45	3401	1140
female	20to45	3267	1243
female	20to45	3451	1340
female	20to45	3090	1168
female	20to45	3413	1322
female	20to45	3323	1249
female	20to45	3680	1321
female	20to45	3439	1192
female	20to45	3853	1373
female	20to45	3156	1170
female	20to45	3279	1265
female	20to45	3707	1235
female	20to45	4006	1302
female	20to45	3269	1241
female	20to45	3071	1078
female	20to45	3779	1520
female	20to45	3548	1460
female	20to45	3292	1075
female	20to45	3497	1280
female	20to45	3082	1180
female	20to45	3248	1250
female	20to45	3358	1190
female	20to45	3803	1374
female	20to45	3566	1306
female	20to45	3145	1202
female	20to45	3503	1240
female	20to45	3571	1316
female	20to45	3724	1280
female	20to45	3615	1350
female	20to45	3203	1180
female	20to45	3609	1210
female	20to45	3561	1127
female	20to45	3979	1324
female	20to45	3533	1210
female	20to45	3689	1290
female	20to45	3158	1100
female	20to45	4005	1280
female	20to45	3181	1175
female	20to45	3479	1160
female	20to45	3642	1205
female	20to45	3632	1163
female	46plus	3069	1022
female	46plus	3394	1243
female	46plus	3703	1350
female	46plus	3165	1237
