Category: All categories

Month,League of Legends Worlds: (United States)
2011-01,<1
2011-02,1
2011-03,<1
2011-04,<1
2011-05,1
2011-06,<1
2011-07,1
2011-08,1
2011-09,0
2011-10,<1
2011-11,1
2011-12,1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,2
2012-11,1
2012-12,<1
2013-01,<1
2013-02,0
2013-03,<1
2013-04,1
2013-05,1
2013-06,<1
2013-07,2
2013-08,4
2013-09,27
2013-10,7
2013-11,2
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,2
2014-06,1
2014-07,2
2014-08,7
2014-09,42
2014-10,29
2014-11,3
2014-12,2
2015-01,3
2015-02,2
2015-03,2
2015-04,3
2015-05,2
2015-06,2
2015-07,3
2015-08,9
2015-09,28
2015-10,100
2015-11,9
2015-12,3
2016-01,3
2016-02,5
2016-03,3
2016-04,4
2016-05,3
2016-06,3
2016-07,5
2016-08,9
2016-09,37
2016-10,73
2016-11,6
2016-12,2
2017-01,2
2017-02,2
2017-03,2
2017-04,3
2017-05,3
2017-06,2
2017-07,2
2017-08,5
2017-09,30
2017-10,60
2017-11,18
2017-12,2
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,1
2018-06,2
2018-07,2
2018-08,4
2018-09,17
2018-10,71
2018-11,16
2018-12,3
2019-01,3
2019-02,3
2019-03,1
2019-04,3
2019-05,3
2019-06,2
2019-07,2
2019-08,4
2019-09,13
2019-10,75
2019-11,28
2019-12,3
2020-01,2
2020-02,2
2020-03,2
2020-04,2
2020-05,2
2020-06,2
2020-07,2
2020-08,5
2020-09,29
2020-10,46
2020-11,5
2020-12,2
2021-01,1
2021-02,2
2021-03,1
2021-04,3
2021-05,2
2021-06,1
2021-07,1
2021-08,5
2021-09,10
2021-10,45
2021-11,12
2021-12,2
2022-01,3
2022-02,3
2022-03,3
2022-04,4
2022-05,4
2022-06,3
2022-07,6
2022-08,9
2022-09,42
2022-10,74
2022-11,37
2022-12,4
2023-01,2
2023-02,2
2023-03,2
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,4
2023-09,8
2023-10,40
2023-11,40
2023-12,3
2024-01,2
